Web Search interest: etf; mutual fund
Worldwide; 2004 - present

Interest over time
Week,etf,mutual fund
2013-02-24 - 2013-03-02,39,34
2013-03-03 - 2013-03-09,42,34
2013-03-10 - 2013-03-16,43,36
2013-03-17 - 2013-03-23,39,31
2013-03-24 - 2013-03-30,38,29
2013-03-31 - 2013-04-06,42,32
2013-04-07 - 2013-04-13,42,31
2013-04-14 - 2013-04-20,50,31
2013-04-21 - 2013-04-27,42,32
2013-04-28 - 2013-05-04,40,31
2013-05-05 - 2013-05-11,42,33
2013-05-12 - 2013-05-18,44,33
2013-05-19 - 2013-05-25,43,31
2013-05-26 - 2013-06-01,39,28
2013-06-02 - 2013-06-08,40,27
2013-06-09 - 2013-06-15,45,27
2013-06-16 - 2013-06-22,50,27
2013-06-23 - 2013-06-29,46,26
2013-06-30 - 2013-07-06,41,26
2013-07-07 - 2013-07-13,40,28
2013-07-14 - 2013-07-20,36,29
2013-07-21 - 2013-07-27,35,29
2013-07-28 - 2013-08-03,34,28
2013-08-04 - 2013-08-10,35,26
2013-08-11 - 2013-08-17,37,27
2013-08-18 - 2013-08-24,38,28
2013-08-25 - 2013-08-31,35,26
2013-09-01 - 2013-09-07,31,25
2013-09-08 - 2013-09-14,35,27
2013-09-15 - 2013-09-21,35,29
2013-09-22 - 2013-09-28,33,28
2013-09-29 - 2013-10-05,32,24
2013-10-06 - 2013-10-12,35,29
2013-10-13 - 2013-10-19,38,28
2013-10-20 - 2013-10-26,38,32
2013-10-27 - 2013-11-02,36,30
2013-11-03 - 2013-11-09,35,29
2013-11-10 - 2013-11-16,37,29
2013-11-17 - 2013-11-23,38,29
2013-11-24 - 2013-11-30,33,26
2013-12-01 - 2013-12-07,35,29
2013-12-08 - 2013-12-14,35,30
2013-12-15 - 2013-12-21,35,29
2013-12-22 - 2013-12-28,34,27
2013-12-29 - 2014-01-04,40,31
2014-01-05 - 2014-01-11,48,33
2014-01-12 - 2014-01-18,48,33
2014-01-19 - 2014-01-25,46,32
2014-01-26 - 2014-02-01,45,29
2014-02-02 - 2014-02-08,44,28
2014-02-09 - 2014-02-15,41,30
2014-02-16 - 2014-02-22,40,30
2014-02-23 - 2014-03-01,46,31
2014-03-02 - 2014-03-08,47,35
2014-03-09 - 2014-03-15,41,34
2014-03-16 - 2014-03-22,44,32
2014-03-23 - 2014-03-29,41,33
2014-03-30 - 2014-04-05,41,34
2014-04-06 - 2014-04-12,40,32
2014-04-13 - 2014-04-19,37,30
2014-04-20 - 2014-04-26,36,31
2014-04-27 - 2014-05-03,35,28
